merchant_id,product_id,user_id,transaction_id,amount,timestamp,location,payment_method,category,age,annual_income,city,customer_segment,preferred_categories,registration_date,product_name,product_category,price,rating,stock,catalog_merchant_id,merchant_name,merchant_category,region,commission_rate,hour,day_of_week,month,is_weekend,day_period,is_working_hours,transaction_ts,transaction_date,epoch_seconds,age_group,catalog_merchant_mismatch,transaction_rank,user_transaction_count,rolling_amount_7d,active_days_7d,is_active,seconds_since_previous,days_since_previous,historical_average_amount,excess_percent,suspicion_flags,is_suspicious
M00051,P03312,U00015,TX0000247,64.91,20240710092846,Rennes,CARD,Toys,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Pro Doll 3312,Toys,65.08,2.2,37,M00051,ToyLand 51,Toys,Grand Est,0.0783,9,mercredi,juillet,0,Morning,1,2024-07-10T09:28:46.000Z,2024-07-10,1720603726,Age Moyen,0,11,29,64.91,1,0,3635018.0,42.07196759259259,763.036,-91.493192982,0,0
M00210,P03964,U00015,TX0023602,8.97,20240713161514,Rennes,CARD,Books,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Standard Novel 3964,Books,9.39,1.9,1171,M00210,BookCorner 210,Books,Pays de la Loire,0.0407,16,samedi,juillet,1,Afternoon,1,2024-07-13T16:15:14.000Z,2024-07-13,1720887314,Age Moyen,0,12,29,73.88,2,0,283588.0,3.2822685185185185,699.57,-98.717783781,0,0
M00580,P05415,U00015,TX0089684,40.43,20240719183718,Marseille,CARD,Clothing,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Classic T-Shirt 5415,Clothing,39.97,2.3,959,M00580,StyleShop 580,Clothing,Grand Est,0.0631,18,vendredi,juillet,0,Evening,0,2024-07-19T18:37:18.000Z,2024-07-19,1721414238,Age Moyen,0,13,29,49.4,2,0,526924.0,6.098657407407408,642.02,-93.70268839,0,0
M00525,P00231,U00015,TX0012645,1282.69,20240720085749,Rennes,CARD,Automotive,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Standard Dash Cam 231,Automotive,1182.08,4.4,469,M00525,AutoShop 525,Automotive,Bretagne,0.0879,8,samedi,juillet,1,Morning,0,2024-07-20T08:57:49.000Z,2024-07-20,1721465869,Age Moyen,0,14,29,1332.09,3,0,51631.0,0.5975810185185185,595.743846,115.308980296,0,0
M00074,P05597,U00015,TX0050551,137.11,20240721004929,Rennes,CARD,Clothing,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Classic Jeans 5597,Clothing,148.77,2.3,223,M00074,StyleShop 74,Clothing,Occitanie,0.0512,0,dimanche,juillet,1,Night,0,2024-07-21T00:49:29.000Z,2024-07-21,1721522969,Age Moyen,0,15,29,1460.23,3,0,57100.0,0.6608796296296297,644.811429,-78.736419078,1,0
M00087,P00395,U00015,TX0080580,1041.08,20240731172356,Rennes,CARD,Electronics,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Premium Tablet 395,Electronics,1100.22,3.5,141,M00087,GadgetShop 87,Electronics,Nouvelle-Aquitaine,0.0295,17,mercredi,juillet,0,Afternoon,1,2024-07-31T17:23:56.000Z,2024-07-31,1722446636,Age Moyen,0,16,29,1041.08,1,0,923667.0,10.690590277777778,610.964667,70.399379249,0,0
M00084,P00580,U00015,TX0065304,571.75,20240912083747,Toulouse,CARD,Electronics,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Standard Tablet 580,Electronics,612.89,3.9,844,M00084,ElectroWorld 84,Electronics,Nouvelle-Aquitaine,0.0795,8,jeudi,septembre,0,Morning,0,2024-09-12T08:37:47.000Z,2024-09-12,1726130267,Age Moyen,0,17,29,571.75,1,0,3683631.0,42.63461805555556,637.846875,-10.362498836,0,0
M00214,P02684,U00015,TX0099452,178.11,20240928190205,Rennes,CARD,Books,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Classic Novel 2684,Books,59.69,3.2,774,M00214,ReadMore 214,Books,Ile-de-France,0.0528,19,samedi,septembre,1,Evening,0,2024-09-28T19:02:05.000Z,2024-09-28,1727550125,Age Moyen,0,18,29,178.11,1,0,1419858.0,16.433541666666667,633.958824,-71.905115402,0,0
M00480,P01228,U00015,TX0036188,459.08,20241204092628,Rennes,CARD,Clothing,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Essential Sneakers 1228,Clothing,233.61,4.2,841,M00480,ClothingHub 480,Clothing,Occitanie,0.0722,9,mercredi,décembre,0,Morning,1,2024-12-04T09:26:28.000Z,2024-12-04,1733304388,Age Moyen,0,19,29,459.08,1,0,5754263.0,66.6002662037037,608.633889,-24.572060758,0,0
M00539,P04053,U00015,TX0012577,1477.23,20241206101808,Rennes,BANK_TRANSFER,Automotive,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Essential Oil Filter 4053,Automotive,1334.29,4.3,818,M00539,AutoShop 539,Automotive,Ile-de-France,0.0499,10,vendredi,décembre,0,Morning,1,2024-12-06T10:18:08.000Z,2024-12-06,1733480288,Age Moyen,0,20,29,1936.31,2,0,175900.0,2.0358796296296298,600.762632,145.892457572,0,0
M00580,P01592,U00015,TX0097151,39.89,20241207091551,Rennes,CARD,Clothing,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Pro T-Shirt 1592,Clothing,40.9,2.4,945,M00580,StyleShop 580,Clothing,Grand Est,0.0631,9,samedi,décembre,1,Morning,1,2024-12-07T09:15:51.000Z,2024-12-07,1733562951,Age Moyen,0,21,29,1976.2,3,0,82663.0,0.9567476851851852,644.586,-93.811531743,0,0
M00258,P04005,U00015,TX0029176,1805.26,20241211212547,Lille,CARD,Electronics,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Classic Smart TV 4005,Electronics,1965.85,4.4,639,M00258,DigitalHub 258,Electronics,Provence-Alpes-Côte d'Azur,0.0181,21,mercredi,décembre,0,Evening,0,2024-12-11T21:25:47.000Z,2024-12-11,1733952347,Age Moyen,0,22,29,3322.38,3,0,389396.0,4.5068981481481485,615.790952,193.161176555,0,0
M00033,P03817,U00015,TX0011988,631.23,20241212131448,Rennes,CARD,Electronics,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Premium Camera 3817,Electronics,660.49,3.1,852,M00033,DigitalHub 33,Electronics,,0.0715,13,jeudi,décembre,0,Afternoon,1,2024-12-12T13:14:48.000Z,2024-12-12,1734009288,Age Moyen,0,23,29,3953.61,4,0,56941.0,0.6590393518518518,669.857727,-5.766556904,0,0
M00149,P01307,U00015,TX0102545,1452.94,20241215134916,Strasbourg,CARD,Electronics,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Pro Tablet 1307,Electronics,1489.68,2.8,811,M00149,DigitalHub 149,Electronics,Normandie,0.0608,13,dimanche,décembre,1,Afternoon,1,2024-12-15T13:49:16.000Z,2024-12-15,1734270556,Age Moyen,0,24,29,3889.43,3,0,261268.0,3.023935185185185,668.178261,117.447960343,0,0
M00037,P02389,U00015,TX0089206,66.17,20250326133103,Rennes,CARD,Books,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Pro Novel 2389,Books,63.97,3.3,45,M00037,ReadMore 37,Books,Auvergne-Rhône-Alpes,0.0929,13,mercredi,mars,0,Afternoon,1,2025-03-26T13:31:03.000Z,2025-03-26,1742995863,Age Moyen,0,25,29,66.17,1,0,8725307.0,100.98734953703703,700.876667,-90.558966632,0,0
M00074,P02431,U00015,TX0118797,72.08,20251203183428,Rennes,CASH,Clothing,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Pro Dress 2431,Clothing,74.34,3.8,506,M00074,StyleShop 74,Clothing,Occitanie,0.0512,18,mercredi,décembre,0,Evening,0,2025-12-03T18:34:28.000Z,2025-12-03,1764786868,Age Moyen,0,26,29,72.08,1,0,21791005.0,252.2107060185185,675.4884,-89.329202396,0,0
M00214,P01861,U00015,TX0118370,17.31,20251212210837,Rennes,CARD,Books,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Classic Textbook 1861,Books,18.59,3.7,539,M00214,ReadMore 214,Books,Ile-de-France,0.0528,21,vendredi,décembre,0,Evening,0,2025-12-12T21:08:37.000Z,2025-12-12,1765573717,Age Moyen,0,27,29,17.31,1,0,786849.0,9.10704861111111,652.280385,-97.346233246,0,0
M00391,P02220,U00015,TX0039225,114.53,20251224024155,Rennes,BANK_TRANSFER,Books,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Standard Biography 2220,Books,54.37,5.0,945,M00391,BookHaven 391,Books,Ile-de-France,0.0789,2,mercredi,décembre,0,Night,0,2025-12-24T02:41:55.000Z,2025-12-24,1766544115,Age Moyen,0,28,29,114.53,1,0,970398.0,11.231458333333334,628.762963,-81.784868585,1,0
M00147,P02673,U00015,TX0034101,19.61,20251228160254,Rennes,CARD,Books,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Premium Cookbook 2673,Books,21.25,3.6,541,M00147,ReadMore 147,Books,Nouvelle-Aquitaine,0.0843,16,dimanche,décembre,1,Afternoon,1,2025-12-28T16:02:54.000Z,2025-12-28,1766937774,Age Moyen,0,29,29,134.14,2,0,393659.0,4.556238425925926,610.3975,-96.787339398,0,0
M00470,P02116,U00016,TX0059886,433.97,20250102034459,Lille,CRYPTO,Food,36,71147.74,Nantes,Premium,"[""Sports""]",20240326,Standard Chocolate Box 2116,Food,55.09,4.8,862,M00470,GourmetShop 470,Food,Nouvelle-Aquitaine,0.0886,3,jeudi,janvier,0,Night,0,2025-01-02T03:44:59.000Z,2025-01-02,1735789499,Adulte,0,1,7,433.97,1,0,,,,,2,1
M00470,P02116,U00016,TX0010379,60.89,20250102214155,Nantes,BANK_TRANSFER,Food,36,71147.74,Nantes,Premium,"[""Sports""]",20240326,Standard Chocolate Box 2116,Food,55.09,4.8,862,M00470,GourmetShop 470,Food,Nouvelle-Aquitaine,0.0886,21,jeudi,janvier,0,Evening,0,2025-01-02T21:41:55.000Z,2025-01-02,1735854115,Adulte,0,2,7,494.86,1,0,64616.0,0.7478703703703704,433.97,-85.969076203,0,0
M00082,P00023,U00016,TX0026300,184.78,20250103092159,Nantes,PAYPAL,Sports,36,71147.74,Nantes,Premium,"[""Sports""]",20240326,Classic Backpack 23,Sports,189.85,2.7,931,M00082,ActiveWear 82,Sports,Normandie,0.0366,9,vendredi,janvier,0,Morning,1,2025-01-03T09:21:59.000Z,2025-01-03,1735896119,Adulte,0,3,7,679.64,2,0,42004.0,0.4861574074074074,247.43,-25.320292608,0,0
M00098,P04286,U00016,TX0132108,73.06,20250106045433,Nantes,PAYPAL,Food,36,71147.74,Nantes,Premium,"[""Sports""]",20240326,Essential Cheese Platter 4286,Food,66.9,4.7,71,M00098,GourmetShop 98,Food,Nouvelle-Aquitaine,0.0206,4,lundi,janvier,0,Night,0,2025-01-06T04:54:33.000Z,2025-01-06,1736139273,Adulte,0,4,7,752.7,3,0,243154.0,2.8142824074074078,226.546667,-67.750573881,1,0
M00482,P05539,U00016,TX0059382,238.21,20250109074736,Nantes,BANK_TRANSFER,Sports,36,71147.74,Nantes,Premium,"[""Sports""]",20240326,Pro Tennis Racket 5539,Sports,221.03,4.1,603,M00482,SportZone 482,Sports,Nouvelle-Aquitaine,0.0241,7,jeudi,janvier,0,Morning,0,2025-01-09T07:47:36.000Z,2025-01-09,1736408856,Adulte,0,5,7,556.94,4,0,269583.0,3.120173611111111,188.175,26.589610735,0,0
M00267,P03907,U00016,TX0078828,906.18,20250124150908,Nantes,PAYPAL,Sports,36,71147.74,Nantes,Premium,"[""Sports""]",20240326,Elite Bicycle Helmet 3907,Sports,494.11,3.4,91,M00267,SportZone 267,Sports,Ile-de-France,0.0694,15,vendredi,janvier,0,Afternoon,1,2025-01-24T15:09:08.000Z,2025-01-24,1737731348,Adulte,0,6,7,906.18,1,0,1322492.0,15.30662037037037,198.182,357.246369499,1,0
M00469,P05984,U00016,TX0041901,319.28,20250127132959,Nantes,PAYPAL,Sports,36,71147.74,Nantes,Premium,"[""Sports""]",20240326,Essential Running Shoes 5984,Sports,286.51,2.7,884,M00469,SportZone 469,Sports,Ile-de-France,0.0655,13,lundi,janvier,0,Afternoon,1,2025-01-27T13:29:59.000Z,2025-01-27,1737984599,Adulte,0,7,7,1225.46,2,0,253251.0,2.9311458333333333,316.181667,0.979921774,0,0
M00124,P03258,U00026,TX0064408,197.01,20240719174557,Grenoble,CARD,Health,31,48657.89,Grenoble,Standard,"[""Health"",""Food"",""Toys""]",20240914,Elite Blood Monitor 3258,Health,198.69,3.4,616,M00124,WellnessStore 124,Health,Grand Est,0.0871,17,vendredi,juillet,0,Afternoon,1,2024-07-19T17:45:57.000Z,2024-07-19,1721411157,Adulte,0,1,3,197.01,1,0,,,,,0,0
M00055,P05760,U00026,TX0102700,7.61,20240927224013,Grenoble,CARD,Books,31,48657.89,Grenoble,Standard,"[""Health"",""Food"",""Toys""]",20240914,Classic Comic Book 5760,Books,8.32,3.1,219,M00055,BookCorner 55,Books,Auvergne-Rhône-Alpes,0.0184,22,vendredi,septembre,0,Night,0,2024-09-27T22:40:13.000Z,2024-09-27,1727476813,Adulte,0,2,3,7.61,1,0,6065656.0,70.20435185185185,197.01,-96.137251916,1,0
M00113,P04613,U00026,TX0125232,200.65,20240928073158,Grenoble,CASH,Health,31,48657.89,Grenoble,Standard,"[""Health"",""Food"",""Toys""]",20240914,Pro Blood Monitor 4613,Health,184.35,4.1,708,M00113,HealthHub 113,Health,Nouvelle-Aquitaine,0.0646,7,samedi,septembre,1,Morning,0,2024-09-28T07:31:58.000Z,2024-09-28,1727508718,Adulte,0,3,3,208.26,2,0,31905.0,0.3692708333333333,102.31,96.119636399,0,0
M00539,P00275,U00037,TX0065411,1199.43,20250302183433,Marseille,CASH,Automotive,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Premium Car Parts 275,Automotive,1112.53,3.5,180,M00539,AutoShop 539,Automotive,Ile-de-France,0.0499,18,dimanche,mars,1,Evening,0,2025-03-02T18:34:33.000Z,2025-03-02,1740940473,Age Moyen,0,1,25,1199.43,1,0,,,,,0,0
M00054,P03877,U00037,TX0036428,1116.1,20250302202002,Marseille,CARD,Electronics,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Essential Headphones 3877,Electronics,1065.91,2.9,207,M00054,ElectroWorld 54,Electronics,Nouvelle-Aquitaine,0.0114,20,dimanche,mars,1,Evening,0,2025-03-02T20:20:02.000Z,2025-03-02,1740946802,Age Moyen,0,2,25,2315.53,1,0,6329.0,0.0732523148148148,1199.43,-6.947466713,0,0
M00417,P05391,U00037,TX0113393,313.86,20250310222944,Marseille,CARD,Sports,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Standard Dumbbells 5391,Sports,316.01,1.5,613,M00417,SportHub 417,Sports,Bretagne,0.0194,22,lundi,mars,0,Night,0,2025-03-10T22:29:44.000Z,2025-03-10,1741645784,Age Moyen,0,3,25,313.86,1,0,698982.0,8.090069444444444,1157.765,-72.890871636,1,0
M00248,P03298,U00037,TX0111387,295.94,20250321213147,Marseille,CARD,Clothing,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Classic T-Shirt 3298,Clothing,310.29,2.9,675,M00248,ClothingHub 248,Clothing,Auvergne-Rhône-Alpes,0.0373,21,vendredi,mars,0,Evening,0,2025-03-21T21:31:47.000Z,2025-03-21,1742592707,Age Moyen,0,4,25,295.94,1,0,946923.0,10.959756944444443,876.463333,-66.234754056,0,0
M00196,P00355,U00037,TX0019530,849.3,20250322033902,Marseille,CARD,Automotive,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Classic Car Battery 355,Automotive,880.77,3.6,586,M00196,MotorHub 196,Automotive,Auvergne-Rhône-Alpes,0.0558,3,samedi,mars,1,Night,0,2025-03-22T03:39:02.000Z,2025-03-22,1742614742,Age Moyen,0,5,25,1145.24,2,0,22035.0,0.2550347222222222,731.3325,16.130487842,1,0
M00017,P05423,U00037,TX0110501,18.7,20250326170448,Montpellier,CARD,Beauty,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Pro Shampoo 5423,Beauty,20.48,1.9,596,M00017,BeautyCorner 17,Beauty,Occitanie,0.0365,17,mercredi,mars,0,Afternoon,1,2025-03-26T17:04:48.000Z,2025-03-26,1743008688,Age Moyen,0,6,25,1163.94,3,0,393946.0,4.559560185185185,754.926,-97.522936023,0,0
M00583,P05101,U00037,TX0057321,184.54,20250411185646,Marseille,CARD,Sports,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Elite Bicycle Helmet 5101,Sports,169.9,4.1,620,M00583,ActiveWear 583,Sports,Bretagne,0.0363,18,vendredi,avril,0,Evening,0,2025-04-11T18:56:46.000Z,2025-04-11,1744397806,Age Moyen,0,7,25,184.54,1,0,1389118.0,16.07775462962963,632.221667,-70.810870675,0,0
M00112,P03854,U00037,TX0018803,1436.17,20250412185825,Marseille,CARD,Electronics,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Pro Camera 3854,Electronics,1461.1,3.5,580,M00112,TechStore 112,Electronics,Provence-Alpes-Côte d'Azur,0.099,18,samedi,avril,1,Evening,0,2025-04-12T18:58:25.000Z,2025-04-12,1744484305,Age Moyen,0,8,25,1620.71,2,0,86499.0,1.0011458333333334,568.267143,152.727967417,0,0
M00160,P05134,U00037,TX0078728,1299.36,20250414162243,Marseille,CARD,Automotive,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Classic Oil Filter 5134,Automotive,1432.66,4.2,391,M00160,AutoCenter 160,Automotive,Ile-de-France,0.0642,16,lundi,avril,0,Afternoon,1,2025-04-14T16:22:43.000Z,2025-04-14,1744647763,Age Moyen,0,9,25,2920.07,3,0,163458.0,1.891875,676.755,91.998581466,0,0
M00195,P05874,U00037,TX0015337,171.17,20250418154550,Marseille,CARD,Sports,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Classic Dumbbells 5874,Sports,81.45,2.8,214,M00195,SportHub 195,Sports,Hauts-de-France,0.044,15,vendredi,avril,0,Afternoon,1,2025-04-18T15:45:50.000Z,2025-04-18,1744991150,Age Moyen,0,10,25,3091.24,4,0,343387.0,3.974386574074074,745.933333,-77.052909097,0,0
M00411,P00104,U00037,TX0088432,465.42,20250425220120,Marseille,CARD,Sports,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Elite Backpack 104,Sports,452.16,4.3,992,M00411,SportZone 411,Sports,Grand Est,0.0322,22,vendredi,avril,0,Night,0,2025-04-25T22:01:20.000Z,2025-04-25,1745618480,Age Moyen,0,11,25,465.42,1,0,627330.0,7.260763888888889,688.457,-32.396649319,1,0
M00324,P05256,U00037,TX0116760,15.49,20250506154341,Marseille,CARD,Food,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Elite Coffee Pack 5256,Food,5.19,2.1,404,M00324,FoodMart 324,Food,Grand Est,0.0257,15,mardi,mai,0,Afternoon,1,2025-05-06T15:43:41.000Z,2025-05-06,1746546221,Age Moyen,0,12,25,15.49,1,0,927741.0,10.737743055555557,668.180909,-97.681765553,0,0
M00502,P03992,U00037,TX0016117,618.59,20250511183022,Marseille,CARD,Automotive,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Elite Tyre Set 3992,Automotive,615.81,2.2,1186,M00502,CarParts 502,Automotive,Bretagne,0.0543,18,dimanche,mai,1,Evening,0,2025-05-11T18:30:22.000Z,2025-05-11,1746988222,Age Moyen,0,13,25,634.08,2,0,442001.0,5.115752314814815,613.79,0.782026426,0,0
M00231,P00082,U00037,TX0070143,2966.86,20250519112119,Nice,CARD,Electronics,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Essential Tablet 82,Electronics,1443.93,4.5,330,M00231,GadgetShop 231,Electronics,Bretagne,0.0814,11,lundi,mai,0,Morning,1,2025-05-19T11:21:19.000Z,2025-05-19,1747653679,Age Moyen,0,14,25,2966.86,1,0,665457.0,7.702048611111111,614.159231,383.07667625,1,0
M00160,P04991,U00037,TX0018413,2808.83,20250527121646,Marseille,PAYPAL,Automotive,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Pro Tyre Set 4991,Automotive,1451.19,4.6,557,M00160,AutoCenter 160,Automotive,Ile-de-France,0.0642,12,mardi,mai,0,Afternoon,1,2025-05-27T12:16:46.000Z,2025-05-27,1748348206,Age Moyen,0,15,25,2808.83,1,0,694527.0,8.038506944444444,782.209286,259.089319223,0,0
M00348,P03612,U00037,TX0038881,50.34,20250527192741,Marseille,CARD,Food,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Essential Pasta Box 3612,Food,51.69,3.4,194,M00348,GourmetShop 348,Food,Auvergne-Rhône-Alpes,0.0669,19,mardi,mai,0,Evening,0,2025-05-27T19:27:41.000Z,2025-05-27,1748374061,Age Moyen,0,16,25,2859.17,1,0,25855.0,0.2992476851851852,917.317333,-94.512258933,0,0
M00557,P02558,U00037,TX0101827,1605.75,20250607125010,Marseille,CASH,Electronics,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Standard Smart TV 2558,Electronics,731.73,3.4,680,M00557,GadgetShop 557,Electronics,Normandie,0.067,12,samedi,juin,1,Afternoon,1,2025-06-07T12:50:10.000Z,2025-06-07,1749300610,Age Moyen,0,17,25,1605.75,1,0,926549.0,10.72394675925926,863.13125,86.037754976,0,0
M00070,P03372,U00037,TX0042577,127.0,20250612153908,Marseille,PAYPAL,Beauty,45,42165.03,Marseille,Premium,"[""Sports"",""Electronics"",""Automotive""]",20250421,Standard Lipstick 3372,Beauty,126.66,4.6,716,M00070,GlowShop 70,Beauty,Grand Est,0.0779,15,jeudi,juin,0,Afternoon,1,2025-06-12T15:39:08.000Z,2025-06-12,1749742748,Age Moyen,0,18,25,1732.75,2,0,442138.0,5.117337962962963,906.814706,-85.994933788,0,0
